Dzongkhag,Gewog,Hospital1_per(KM),Hospital2_per(KM),Hospital3_per(KM),Female,Male,Total,,,,,,,,,,,,,,,,,,
Mongar,NA_RANG ,64.8,42.9,0,670,593,1263,,,,,,,,,,,,,,,,,,
Mongar,NGATSHANG ,30.4,0,0,870,775,1645,,,,,,,,,,,,,,,,,,
Mongar,SHERMUHOONG ,39,0,0,830,797,1627,,,,,,,,,,,,,,,,,,
Mongar,THANGRONG ,40.7,0,0,898,717,1615,,,,,,,,,,,,,,,,,,
Mongar,GONGDUE ,480,0,208,618,616,1234,,,,,,,,,,,,,,,,,,
Mongar,JURMED ,68.6,0,0,658,589,1247,,,,,,,,,,,,,,,,,,
Mongar,KENGKHAR ,61.7,0,0,983,881,1864,,,,,,,,,,,,,,,,,,
Mongar,SALING ,28.3,0,0,956,973,1929,,,,,,,,,,,,,,,,,,
Mongar,SILAMBI ,26,0,0,732,734,1466,,,,,,,,,,,,,,,,,,
Mongar,CHHALING ,19.7,0,0,721,720,1441,,,,,,,,,,,,,,,,,,
Mongar,DREPOONG ,14.5,0,0,477,427,904,,,,,,,,,,,,,,,,,,
Mongar,MONGGAR ,0.65,0,0,1803,1681,3484,,,,,,,,,,,,,,,,,,
Mongar,TSAKALING ,31.7,0,0,542,544,1086,,,,,,,,,,,,,,,,,,
Mongar,TSAMANG,11.4,0,0,488,444,932,,,,,,,,,,,,,,,,,,
Mongar,GYELPOSHING tOWN,28.8,0,0,1255,1374,2629,,,,,,,,,,,,,,,,,,
Mongar,KILIKHAR TOWN,5.2,0,0,275,290,565,,,,,,,,,,,,,,,,,,
Mongar,MONGGAR TOWN,0.85,0,0,2151,2301,4452,,,,,,,,,,,,,,,,,,
Mongar,YADI TOWN,28.3,0,0,370,360,730,,,,,,,,,,,,,,,,,,
Mongar,DRAMEDTSE TOWN,68,0,0,398,580,978,,,,,,,,,,,,,,,,,,
Mongar,LINGMETHANG TOWN,27.8,0,0,440,512,952,,,,,,,,,,,,,,,,,,
Tsirang,Patshaling ,9.2,0,0,952,567,1519,,,,,,,,,,,,,,,,,,
Tsirang,Kilkhorthang ,4.4,0,0,1046,1099,2145,,,,,,,,,,,,,,,,,,
Tsirang,Mendrelgang ,13.7,0,0,1231,1276,2507,,,,,,,,,,,,,,,,,,
Tsirang,Rangthangling ,3.6,0,0,782,803,1585,,,,,,,,,,,,,,,,,,
Tsirang,Tsholingkhar ,12.6,0,0,853,892,1745,,,,,,,,,,,,,,,,,,
Tsirang,Doonglagang ,8.9,0,0,767,779,1546,,,,,,,,,,,,,,,,,,
Tsirang,Gosarling ,7.1,0,0,939,925,1864,,,,,,,,,,,,,,,,,,
Tsirang,Sergithang ,26.4,0,0,648,731,1379,,,,,,,,,,,,,,,,,,
Tsirang,Semjong ,13.3,0,0,600,712,1312,,,,,,,,,,,,,,,,,,
Tsirang,Tsirang Toe ,20.4,0,0,682,769,1451,,,,,,,,,,,,,,,,,,
Tsirang,Tsirang Town ,13.3,0,0,1594,1854,3448,,,,,,,,,,,,,,,,,,
Tsirang,Mendrelgang town,13.7,0,0,31,31,62,,,,,,,,,,,,,,,,,,
Tsirang,Pungtenchu,25.3,0,0,666,665,1331,,,,,,,,,,,,,,,,,,
Tsirang,Barshong,28,0,0,419,423,842,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
