Country,Dzongkhag,Gewog/Town,Gewog_Latitude,Gewog_Longitude,Total_Female,Total_Male,Total_Population
Bhutan,Sarpang,Jigme Chhoeling,27.02611707,90.55381686,"1,743","1,515","3,258"
Bhutan,Sarpang,Serzhong,26.89023843,90.53962309,"1,285","1,422","2,707"
Bhutan,Sarpang,Tareythang,26.82207823,90.55871003,225,126,351
Bhutan,Sarpang,Umling,26.83738672,90.54105991,754,832,1586
Bhutan,Sarpang,Dekiling,26.8829727,90.33715851,"3,290","2,690","5,980"
Bhutan,Sarpang,Chhudzom,27.06584075,90.34067521,"1,460","1,204","2,664"
Bhutan,Sarpang,Gakiling,26.87670679,90.26191507,"1,105","1,020","2,125"
Bhutan,Sarpang,Senggey,26.87817103,90.26124838,569,511,1080
Bhutan,Sarpang,Shompangkha,26.86515654,90.2687037,757,729,1486
Bhutan,Samdrup Jongkhar,Samdrup JongkharThromde,26.80030666,91.5046007,4309,5016,9325
Bhutan,Samdrup Jongkhar,Jomotsangkha,26.89929745,92.10578605,536,600,1136
Bhutan,Samdrup Jongkhar,Samdrup Choling Town,"26.80487680780764, ",91.50409509,811,902,1713
Bhutan,Samdrup Jongkhar,Dewathang,26.85768045,91.46225347,1315,1599,2914
Bhutan,Samdrup Jongkhar,Gomdar,26.80369376,91.50390265,1628,1578,3206
Bhutan,Samdrup Jongkhar,Orong,26.93231979,91.49565642,1387,1428,2815
Bhutan,Samdrup Jongkhar,Phuentshothang,26.91951721,91.67970592,1471,1557,3028
Bhutan,Samdrup Jongkhar,Wangphu,26.97815449,91.61457998,905,898,1803
Bhutan,Samdrup Jongkhar,Langchenphu,26.89469622,92.09966811,454,514,968
Bhutan,Samdrup Jongkhar,Lauri,27.13301649,91.91145502,884,830,1714
Bhutan,Samdrup Jongkhar,Martshala,26.95175715,91.68291472,1208,1382,2590
Bhutan,Samdrup Jongkhar,Pemathang,26.91859163,91.74300723,750,718,1468
Bhutan,Samdrup Jongkhar,Samrang,26.80371399,91.50385243,101,209,310
Bhutan,Samdrup Jongkhar,Serthig,27.02324733,92.0015621,991,1099,2090
Bhutan,Trashigang,Trashigang Town,27.33496575,91.55482378,1472,1565,3037
